0.001 0.001 345.0
0.0006835937500000001 0.000896484375 4.345703125e-05 8.69140625e-05
0.0008330078125 0.000224609375 6.73828125e-05 0.000134765625
0.0002841796875 0.000873046875 6.73828125e-05 0.000134765625
0.0001181640625 0.00046777343750000004 6.73828125e-05 0.000134765625
0.00034082031250000003 0.00027832031250000003 6.73828125e-05 0.000134765625
0.000990234375 0.0004443359375 6.73828125e-05 0.000134765625
0.00058203125 0.0005527343750000001 6.73828125e-05 0.000134765625
0.0008076171875000001 0.0007919921875 3.759765625e-05 7.51953125e-05
0.000857421875 0.0006123046875 3.955078125e-05 7.91015625e-05
0.0004443359375 3.5156250000000004e-05 6.494140625e-05 0.0001298828125
0.0009931640625000001 1.171875e-05 6.591796875e-05 0.0001318359375
0.00096484375 0.0008798828125 5.224609375e-05 0.0001044921875
4.1992187500000003e-05 0.0007412109375 6.73828125e-05 0.000134765625
0.0006855468750000001 0.0003603515625 3.271484375e-05 6.54296875e-05
0.000107421875 5.859375e-05 6.73828125e-05 0.000134765625
0.0003056640625 0.00058984375 4.443359375e-05 8.88671875e-05
0.000703125 4.39453125e-05 4.39453125e-05 8.7890625e-05
7.031250000000001e-05 0.0009912109375000001 5.46875e-05 0.000109375
