# periodic 2D packing, generated 2026-08-01T20:13:27.914279+00:00
# porosity_achieved = 0.328766  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
1.776925857620e-04 9.297746953081e-04 6.370573625880e-05
6.358403859523e-04 4.514801176505e-04 8.086746175030e-05
8.116384624659e-04 7.125211887285e-04 2.000000000000e-04
6.038742446745e-05 5.069525743525e-04 1.227002097175e-04
6.893322412665e-04 2.151092836453e-04 3.884081158087e-05
1.393520081789e-04 7.023174480246e-04 8.802039543243e-05
3.362820880752e-04 8.997777579375e-04 6.461446586339e-05
5.614414325831e-04 2.547665873903e-04 9.505787794495e-05
5.094825955997e-04 4.100861210796e-04 3.949113806277e-05
8.787042085518e-04 2.790618569438e-04 9.958943895962e-05
4.381113897645e-04 1.045897201542e-04 9.927171090889e-05
1.634543852256e-04 2.074693798864e-04 1.940242597890e-04
5.187866531344e-04 9.186825447694e-04 1.033883921559e-04
7.153597226747e-04 1.130530046761e-05 1.139139702798e-04
8.730670905647e-04 4.203685583781e-04 4.182991876839e-05
4.194649803732e-04 6.320147963808e-04 2.000000000000e-04
2.810867704170e-04 1.228900513677e-05 3.386382742240e-05
